serivice_month,submitter,reject_count,total_count,reject_rate
2021-01-01,H,110,406.0,0.270935960591133
2021-02-01,H,45,409.0,0.1100244498777506
2021-03-01,H,5,455.0,0.01098901098901099
2021-04-01,H,9,462.0,0.01948051948051948
2021-05-01,H,22,529.0,0.04158790170132325
2021-06-01,H,14,542.0,0.025830258302583026
2021-07-01,H,11,541.0,0.020332717190388167
2021-08-01,H,13,530.0,0.024528301886792454
2021-09-01,H,10,456.0,0.02192982456140351
2021-10-01,H,5,490.0,0.010204081632653059
2021-11-01,H,7,428.0,0.016355140186915886
2021-12-01,H,4,401.0,0.00997506234413965
2022-01-01,H,8,460.0,0.017391304347826087
2022-02-01,H,2,350.0,0.005714285714285714
2022-04-01,H,3,459.0,0.006535947712418301
2022-05-01,H,4,475.0,0.008421052631578947
2022-06-01,H,5,499.0,0.01002004008016032
2022-07-01,H,6,507.0,0.01183431952662722
2022-08-01,H,6,528.0,0.011363636363636364
2022-09-01,H,1,463.0,0.0021598272138228947
2022-10-01,H,5,473.0,0.010570824524312895
2022-11-01,H,1,359.0,0.0027855153203342623
2023-01-01,H,10,472.0,0.0211864406779661
2023-02-01,H,4,596.0,0.006711409395973154
2023-03-01,H,4,747.0,0.00535475234270415
2023-04-01,H,6,666.0,0.009009009009009007
2023-05-01,H,5,812.0,0.006157635467980296
2023-06-01,H,5,822.0,0.006082725060827251
2023-07-01,H,3,859.0,0.003492433061699651
2023-08-01,H,2,894.0,0.0022371364653243847
2023-09-01,H,21,801.0,0.02621722846441948
2023-10-01,H,6,820.0,0.007317073170731708
2023-11-01,H,13,720.0,0.018055555555555557
2023-12-01,H,7,664.0,0.010542168674698794
2024-01-01,H,7,749.0,0.009345794392523364
2024-02-01,H,8,722.0,0.0110803324099723
2024-03-01,H,10,755.0,0.01324503311258278
2024-04-01,H,22,432.0,0.050925925925925916
2021-01-01,A,251,12778.0,0.01964313664110189
2021-02-01,A,310,20903.0,0.014830407118595415
2021-03-01,A,1453,29794.0,0.04876820836410015
2021-04-01,A,2602,29169.0,0.08920429222805032
