rcvd_month,claim_volume
2021-03-01,3716729
2021-04-01,3373676
2021-05-01,3514949
2021-06-01,3659102
2021-07-01,3616921
2021-08-01,3853044
2021-09-01,3755745
2021-10-01,3841849
2021-11-01,3792233
2021-12-01,4131104
2022-01-01,2561023
2022-02-01,2374827
2022-03-01,2652896
2022-04-01,2334566
2022-05-01,2574999
2022-06-01,2887611
2022-07-01,2275948
2022-08-01,2773459
2022-09-01,3153629
2022-10-01,2967844
2022-11-01,2776053
2022-12-01,3188113
2023-01-01,2786383
2023-02-01,2514958
2023-03-01,3605583
2023-04-01,2830588
2023-05-01,3363356
2023-06-01,3097699
2023-07-01,2781888
2023-08-01,3305723
2023-09-01,3235483
2023-10-01,2857182
2023-11-01,4703320
2023-12-01,2980588
2024-01-01,3647578
2024-02-01,2934366
2024-03-01,2502579
2024-04-01,3919728
