service_month,util_count,mem_count,pmpm
2023-08-01,2459,18997,0.12944149076169922
2023-04-01,2035,17639,0.11536935200408187
2022-09-01,1909,15681,0.12173968496907085
2022-11-01,1991,16510,0.12059357964869775
2022-12-01,1904,16665,0.11425142514251425
2022-10-01,1931,15896,0.1214771011575239
2023-05-01,2267,17898,0.12666219689350766
2022-08-01,1985,15449,0.12848728073014434
2023-10-01,2393,18733,0.12774248652111247
2022-04-01,1586,13694,0.11581714619541406
2023-06-01,2442,18243,0.1338595625719454
2023-03-01,2340,17313,0.13515855137757754
2022-01-01,1484,12697,0.11687800267779792
2023-02-01,2007,17064,0.11761603375527427
2022-02-01,1413,12896,0.10956885856079404
2023-11-01,2300,18696,0.1230209670517758
2023-07-01,2110,18451,0.11435694542301232
2022-06-01,1800,14350,0.1254355400696864
2023-12-01,2005,18424,0.10882544507164567
2023-09-01,2312,18854,0.12262649835578655
2022-07-01,1627,14769,0.1101631796330151
2022-05-01,1764,13968,0.12628865979381446
2023-01-01,1997,16800,0.11886904761904762
2022-03-01,1800,13105,0.1373521556657764
